,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
TIMM29,0.022129825542753473,6.345781065142386e-05,3.362695e-05,5.44212628295071e-08,0.009900990099009901,1.7888288012290645e-05,6.960637365786895e-05,6.017832233266543e-08,0.010144457068657686
PRKAG3,0.022098843248629773,6.485058317573511e-05,3.362695e-05,5.079955900377797e-09,0.009900990099009901,1.5567725722976378e-05,7.110164281724767e-05,5.705678660102356e-09,0.010144457068657686
CDKN2AIP,0.02209845101608603,6.486839879693562e-05,3.362695e-05,1.5043038370521344e-07,0.009900990099009901,1.8257674706905148e-05,7.110164281724767e-05,1.6536868857297193e-07,0.010144457068657686
SMG8,0.022088335049229784,6.532947341553186e-05,3.362695e-05,6.839761822474699e-07,0.009900990099009901,1.9532706310616103e-05,7.158086933769013e-05,7.410359504306283e-07,0.010144457068657686
ZSCAN5B,0.02202926724530052,6.808398036517449e-05,3.362695e-05,2.752123764437897e-07,0.009900990099009901,1.8482407838099603e-05,7.457172000566757e-05,3.012174860749249e-07,0.010144457068657686
KRTAP8-1,0.02202821188606016,6.81341756160192e-05,3.362695e-05,3.464948368225862e-07,0.009900990099009901,1.9552367346665048e-05,7.459946235330569e-05,3.7799436744282133e-07,0.010144457068657686
FAM47E,0.021940434931858457,7.243326261696659e-05,3.362695e-05,8.345859159319957e-08,0.009900990099009901,1.760879294149133e-05,7.92775585008755e-05,9.211765076512094e-08,0.010144457068657686
OBP2A,0.021922431306884642,7.334604035402759e-05,3.362695e-05,9.242787488705773e-07,0.009900990099009901,2.0898145680518374e-05,8.024730892125557e-05,9.988603193846296e-07,0.010144457068657686
PSORS1C2,0.02189445800629469,7.47857929151996e-05,3.362695e-05,3.1999929372972247e-09,0.009900990099009901,1.4598395890243878e-05,8.179270096449099e-05,3.602243456619765e-09,0.010144457068657686
ODF4,0.02185794723254156,7.670501062073676e-05,3.362695e-05,5.839667576390539e-06,0.009900990099009901,2.5234373235667578e-05,8.386116321509121e-05,6.250090163814348e-06,0.010144457068657686
SPRR2E,0.02185611432296331,7.680257070463714e-05,3.362695e-05,5.178492318624883e-06,0.009900990099009901,2.5169062909583093e-05,8.393723574277283e-05,5.5464037686093005e-06,0.010144457068657686
CENPQ,0.021847930599015075,7.723959161498595e-05,3.362695e-05,1.6993053507663447e-06,0.009900990099009901,2.192789041952343e-05,8.438411319918348e-05,1.8298334717512685e-06,0.010144457068657686
KRTAP2-4,0.021816708901762908,7.892846101431594e-05,3.362695e-05,1.654888648339181e-08,0.009900990099009901,1.5863235665361175e-05,8.619780962611862e-05,1.8387651648213122e-08,0.010144457068657686
